MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
5.685,1.541,1.868,2.756,0.730,1.194,1.541,1.541,1.820,1.194,3.859,2.056,0.730,1.820,1.820,2.440,2.056,2.056,2.056,1.194,0.730,2.886,2.886,1.194,8.059,1.194,1.541,1.820,1.541,1.820,1.820,2.056,11.170,2.260,0.000,7.483,11.693,0.730,1.820,0.730,1.541,2.398,11.686,0.000,2.514,0.730,0.000,1.194,0.730,1.541,0.730,1.194,2.603,1.820,0.000,2.056,2.056,2.056,1.194,1.194,10.506,1.541,1.541,1.194,0.000,5.715,0.000,0.000,0.000,0.000,0.730,1.820,1.194,0.000,1.194,14.195,1.541,1.820,12.248
3.859,1.541,1.918,2.774,0.730,1.194,1.541,1.541,0.730,1.194,2.440,1.820,0.730,1.820,2.056,2.260,2.603,4.545,4.545,1.194,0.730,2.750,2.750,1.541,0.000,1.541,1.541,1.541,1.541,1.820,1.194,1.820,12.063,2.260,0.000,8.898,12.792,0.730,1.820,0.730,1.541,2.464,0.000,0.000,2.464,0.000,0.730,1.194,0.000,1.541,0.730,1.541,2.260,1.820,0.730,1.541,2.056,4.545,1.194,1.194,10.062,1.541,1.541,1.194,9.010,0.000,0.000,0.000,0.000,0.000,0.730,1.820,1.194,0.000,2.056,14.194,1.541,1.820,12.109
5.685,1.541,1.879,2.796,0.730,1.194,1.194,1.541,1.820,1.194,3.859,2.056,0.730,1.820,1.820,2.440,2.056,2.440,2.260,1.194,0.730,2.886,2.886,1.194,7.647,1.194,1.541,1.820,1.541,1.820,0.730,2.056,10.200,2.260,0.000,9.917,11.892,0.730,1.820,0.730,1.541,2.410,11.725,0.000,2.522,0.730,0.000,1.194,0.730,1.541,0.730,1.194,2.260,1.820,0.730,1.541,2.056,2.440,1.194,1.194,10.776,1.541,1.541,1.194,0.000,5.053,0.000,0.000,0.000,0.000,0.730,1.820,1.194,0.000,2.750,14.195,1.541,1.820,12.317
5.969,1.541,1.848,2.773,0.730,1.194,1.194,1.541,1.541,1.194,2.750,2.056,0.730,1.820,1.820,2.440,2.056,6.470,4.792,1.194,0.730,2.440,1.820,1.541,0.000,1.541,1.541,1.194,1.820,1.541,1.820,1.820,8.274,2.260,0.000,10.468,11.354,0.730,1.194,0.730,1.541,2.418,11.354,0.000,2.515,0.730,0.000,0.730,0.000,1.541,0.730,1.194,2.440,1.820,0.730,1.820,1.820,2.603,1.541,1.541,10.918,1.541,1.541,1.194,0.000,4.745,8.798,0.000,0.000,0.000,0.730,1.820,1.194,0.000,1.194,14.192,1.541,1.194,11.849
5.685,1.541,1.929,2.828,0.730,1.194,1.194,1.541,0.730,1.194,2.056,2.056,0.730,1.820,1.820,2.603,2.056,2.603,2.603,1.194,0.730,2.886,2.886,1.194,9.392,1.194,1.541,1.820,1.541,1.820,1.541,2.056,10.971,2.260,0.000,10.221,12.511,0.730,1.820,0.730,1.541,2.448,12.271,0.000,2.555,0.730,0.000,1.194,0.730,1.820,0.730,1.194,2.750,1.820,0.730,1.541,2.056,2.603,1.194,1.541,11.628,1.541,1.541,1.194,8.014,6.315,0.000,0.000,0.000,0.000,0.730,1.820,1.194,0.000,3.128,14.195,1.541,1.820,12.429
5.357,1.541,1.932,2.827,0.730,1.194,1.194,1.541,1.820,1.194,3.011,2.056,0.730,1.820,1.541,2.056,2.056,3.530,3.341,1.194,0.730,2.886,2.886,1.541,0.000,1.541,1.541,0.000,1.541,1.820,1.820,2.056,11.267,2.260,0.000,5.803,11.494,0.730,1.820,0.730,1.541,2.385,10.590,0.000,2.477,0.730,0.000,0.730,0.730,0.730,0.730,1.541,2.056,1.820,0.000,2.056,2.056,3.530,1.541,1.194,10.169,1.541,1.541,1.194,4.970,4.492,0.000,9.178,0.000,0.000,0.730,1.541,0.730,11.148,2.886,14.197,1.541,1.820,11.871
3.859,1.541,1.902,2.781,0.730,1.194,1.541,1.541,1.820,1.194,3.618,2.056,0.730,1.820,2.056,2.603,2.056,1.541,1.194,1.194,0.730,2.886,2.886,0.730,7.945,1.194,1.541,1.820,1.194,1.820,1.541,2.056,13.031,2.260,0.000,9.156,13.656,0.730,1.820,0.730,1.541,2.513,0.000,0.000,2.513,0.730,0.000,1.194,0.000,1.541,0.730,1.194,2.440,1.820,0.730,1.820,2.056,1.541,1.194,1.194,10.894,1.541,1.541,1.194,8.649,5.591,0.000,0.000,0.000,0.000,0.730,1.820,1.194,0.000,2.603,14.194,1.541,1.820,12.635
5.685,1.541,1.918,2.785,0.730,1.194,1.194,1.541,1.541,1.194,3.238,0.000,0.730,1.820,1.820,2.440,2.260,4.792,4.792,1.194,0.730,2.603,2.603,0.730,8.511,1.541,1.541,1.541,1.541,1.820,0.730,1.820,11.702,1.194,4.597,8.274,12.414,0.730,1.820,0.730,1.541,2.442,12.077,0.000,2.547,0.730,0.000,1.194,0.730,1.541,0.730,1.541,2.440,1.820,1.194,1.541,2.056,4.792,1.194,1.194,10.190,1.541,1.541,1.194,8.464,8.147,8.395,0.000,0.000,0.000,0.730,1.820,0.730,9.392,3.011,14.197,1.541,1.820,12.206
5.357,1.194,1.808,2.710,0.730,1.194,1.541,1.541,1.820,1.194,3.782,1.541,0.730,1.820,1.541,2.440,2.056,6.148,5.623,1.194,0.730,1.820,1.820,1.541,0.000,1.541,1.541,1.194,1.820,1.820,1.820,2.260,0.000,2.260,0.000,11.987,11.987,0.730,1.194,0.730,0.730,2.428,11.340,0.000,2.520,0.000,0.000,1.194,0.000,1.194,1.194,1.541,2.603,1.194,1.194,1.541,1.820,6.148,1.541,1.194,10.105,0.730,1.541,1.194,6.448,0.000,8.158,0.000,0.000,0.000,0.730,1.820,1.194,0.000,1.820,14.195,1.541,1.194,11.775
7.991,1.541,1.803,2.738,0.730,1.194,1.541,1.541,1.541,1.194,2.886,1.541,0.000,0.000,0.000,2.056,2.260,5.942,5.623,1.194,0.730,2.750,2.750,1.541,0.000,1.541,1.541,1.194,1.820,1.820,1.820,2.056,11.677,2.260,0.000,7.339,12.100,0.730,1.820,0.730,1.541,2.437,0.000,0.000,2.437,0.730,0.000,0.730,0.000,1.194,1.194,1.541,2.056,1.820,1.194,1.541,2.056,5.942,1.194,0.730,8.158,0.000,1.541,1.194,0.000,1.820,0.000,0.000,0.000,0.000,0.730,1.820,1.194,0.000,0.730,14.195,1.541,1.820,11.678
